Hour,Min,Sec,Lat,Lon,East,North,Ecrop,N_crop,Alt,Tcanopy,Tambient,Pressure,Humidity,HeadCompass,NDVI,PRI,Row,Irrig,Space,Scholand,NDVI_PRI_INDEX
10,25,25.8983,41.24461364,-7.11490488,-108.34,-524.75,-108.37,-523.7,155.5,28.96,36.8,997,27,268.57,0.74,0.21,8,15,3,-9.75,0.1554
10,25,25.8984,41.24461365,-7.114904881,-108.35,-524.76,-108.38,-523.8,155.6,28.97,36.9,998,27.1,268.58,0.74,0.21,8,15,3,-9.75,0.1554
10,25,26.1016,41.24461365,-7.114906788,-108.47,-524.77,-108.61,-523.89,155.6,28.97,36.9,998,27.1,261.06,0.73,0.18,8,15,3,-9.75,0.1314
10,25,26.3984,41.24461365,-7.114907742,-108.6,-524.78,-108.7,-523.93,155.6,28.97,36.9,998,27.1,263.5,0.73,0.18,8,15,3,-9.75,0.1314
10,25,26.6016,41.24461365,-7.114907742,-108.6,-524.78,-108.69,-523.93,155.6,28.97,36.9,998,27.1,264.18,0.74,0.18,8,15,3,-9.75,0.1332
10,25,26.8984,41.24461365,-7.114909649,-108.72,-524.79,-108.84,-523.91,155.5,28.97,36.9,998,27,262.83,0.74,0.1,8,15,3,-9.75,0.074
10,25,27.2031,41.24461365,-7.114911079,-108.84,-524.8,-108.97,-523.88,155.5,28.97,36.9,998,27,262.03,0.74,0.1,8,15,3,-9.75,0.074
10,25,27.3984,41.24461365,-7.114912033,-108.91,-524.8,-109,-523.82,155.5,28.97,36.9,998,27,265.12,0.74,0.1,8,15,3,-9.75,0.074
10,25,27.6016,41.24461365,-7.114912033,-108.91,-524.8,-109.08,-523.85,155.5,29.69,36.9,998,27,260.28,0.67,0.23,8,15,3,-9.75,0.1541
10,25,27.8984,41.24461365,-7.114912987,-108.97,-524.81,-109.02,-523.89,155.5,29.69,36.9,998,27,267.23,0.67,0.23,8,15,3,-9.75,0.1541
10,25,28.2031,41.24461365,-7.114914894,-109.15,-524.82,-109.26,-523.86,155.5,29.69,36.9,998,27,263.87,0.67,0.23,8,15,3,-9.75,0.1541
10,25,28.5,41.24461365,-7.114916801,-109.34,-524.84,-109.45,-523.85,155.5,29.69,36.9,998,27,264.01,0.67,0.23,8,15,3,-9.75,0.1541
10,25,28.7031,41.24461365,-7.114918232,-109.46,-524.85,-109.64,-523.89,155.5,29.69,36.9,998,27,259.81,0.67,0.23,8,15,3,-9.75,0.1541
10,25,29,41.24461365,-7.114918232,-109.46,-524.85,-109.53,-523.87,155.5,29.69,36.9,998,27,266.1,0.65,0.23,8,15,3,-9.75,0.1495
10,25,29.2969,41.24461365,-7.114919186,-109.53,-524.85,-109.5,-523.9,155.5,25.93,36.9,998,27.1,272.01,0.65,0.24,8,15,3,-9.75,0.156
10,25,29.5,41.24461365,-7.114921093,-109.65,-524.86,-109.8,-523.89,155.5,25.93,36.9,998,27.1,261.81,0.65,0.24,8,15,3,-9.75,0.156
10,25,29.7969,41.24461365,-7.114923,-109.84,-524.88,-109.98,-523.89,155.4,25.93,36.9,998,27.1,262.42,0.61,0.24,8,15,3,-9.75,0.1464
10,25,30.1016,41.24461365,-7.114923954,-109.9,-524.88,-109.95,-523.95,155.4,25.93,36.9,998,27.1,267.54,0.61,0.3,8,15,3,-9.75,0.183
10,25,30.3984,41.24460602,-7.114924908,-109.96,-525.6,-110.11,-524.71,155.4,25.93,36.9,998,27.2,260.54,0.61,0.3,8,15,3,-9.75,0.183
10,25,30.7031,41.24460602,-7.114926338,-110.21,-525.29,-110.26,-524.38,155.4,25.93,36.9,998,27.1,267.5,0.72,0.3,8,15,3,-9.75,0.216
10,25,31,41.24460602,-7.114927292,-110.27,-525.29,-110.33,-524.39,155.4,25.87,36.9,998,27.1,266.29,0.72,0.22,8,15,3,-9.75,0.1584
10,25,31.2031,41.24460602,-7.114928246,-110.33,-525.3,-110.39,-524.46,155.4,25.87,36.9,998,27.1,266.36,0.72,0.22,8,15,3,-9.75,0.1584
10,25,31.3984,41.24460602,-7.114930153,-110.46,-525.31,-110.54,-524.46,155.4,25.87,36.9,998,27.1,264.94,0.71,0.22,8,15,3,-9.75,0.1562
10,25,31.7031,41.24460602,-7.114931107,-110.58,-525.32,-110.68,-524.49,155.4,25.87,36.9,998,27.1,263.5,0.71,0.16,8,15,3,-9.75,0.1136
10,25,31.8984,41.24460602,-7.11493206,-110.64,-525.32,-110.7,-524.51,155.4,27.83,36.9,998,27.1,266.4,0.71,0.16,8,15,3,-9.75,0.1136
10,25,32.1016,41.24460602,-7.114933491,-110.77,-525.33,0,0,155.4,27.83,36.9,998,27.1,264.19,0.71,0.16,8,15,3,-9.75,0.1136
10,25,32.2969,41.24460602,-7.114934444,-110.89,-525.34,-110.99,-524.51,155.4,0,36.9,998,27.1,263.55,0,0,8,15,3,-9.75,0
10,25,32.6016,41.24460602,-7.114935398,-110.95,-525.35,-111.01,-524.49,155.3,0,36.9,998,27.1,266.47,0,0,8,15,3,-9.75,0
10,25,32.8984,41.24460602,-7.114936352,-111.01,-525.35,-111.09,-524.5,155.3,0,36.9,998,27.1,265.05,0,0,8,15,3,-9.75,0
10,25,33.2031,41.24460602,-7.114937305,-111.08,-525.36,-111.15,-524.48,155.3,0,36.9,998,27.1,265.67,0.75,0,8,15,3,-9.75,0
10,25,33.3984,41.24460602,-7.114938259,-111.14,-525.36,-111.16,-524.47,155.3,0,36.9,998,27.1,268.76,0.75,0.21,8,15,3,-9.75,0.1575
10,25,33.7031,41.24460602,-7.114939213,-111.2,-525.37,-111.27,-524.43,155.3,30.44,36.9,998,27.1,266.34,0.75,0.21,8,15,3,-9.75,0.1575
10,25,33.8984,41.24460602,-7.114940166,-111.26,-525.37,-111.35,-524.43,155.3,30.44,36.9,998,27.1,264.97,0.76,0.21,8,15,3,-9.75,0.1596
10,25,34.2031,41.24460602,-7.114941597,-111.39,-525.38,-111.48,-524.49,155.3,30.44,36.9,998,27.1,264.4,0.76,0.29,8,15,3,-9.75,0.2204
10,25,34.5,41.24460602,-7.114942551,-111.51,-525.39,-111.56,-524.56,155.3,30.44,36.9,998,27.1,266.93,0.76,0.29,8,15,3,-9.75,0.2204
10,25,34.7031,41.24460602,-7.114943504,-111.57,-525.4,-111.67,-524.56,155.3,30.44,36.9,998,27.1,263.89,0.73,0.29,8,15,3,-9.75,0.2117
10,25,35.2031,41.24460602,-7.114946365,-111.76,-525.41,-111.83,-524.5,155.3,28.3,36.9,998,27.1,265.68,0.73,0.17,8,15,3,-9.75,0.1241
10,25,35.5,41.24460602,-7.114947319,-111.88,-525.42,-111.93,-524.55,155.3,28.3,36.9,998,27.1,267.32,0.75,0.17,8,15,3,-9.75,0.1275
10,25,35.7969,41.24459457,-7.114949703,-112.07,-526.71,-112.18,-525.84,155.3,28.3,36.9,998,27.2,263.31,0.75,0.29,8,15,3,-9.75,0.2175
10,25,36.1016,41.24459457,-7.114950657,-112.19,-526.72,-112.27,-525.83,155.2,28.3,36.9,998,27.2,264.95,0.75,0.29,8,15,3,-9.75,0.2175
10,25,36.2969,41.24459457,-7.114950657,-112.19,-526.72,-112.27,-525.83,155.2,28.3,36.9,998,27.2,265.53,0.75,0.29,8,15,3,-9.75,0.2175
10,25,36.6016,41.24459457,-7.114951611,-112.25,-526.73,-112.29,-526,155.2,28.3,36.9,998,27.2,267.47,0.75,0.29,8,15,3,-9.75,0.2175
