T2 - 7Aug_MidSpaces_GT,,,,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column15,Column16,Column17,Column18,Column20,Column23,Column24,Column33,Column34,Column35,Column36,Column37,Column38,Column39
Hour,Min,Sec,Lat,Lon,East,North,Ecrop,N_crop,Alt,Tcanopy,Tambient,Pressure,Humidity,HeadCompass,NDVI,PRImed,Row,Irrig,Space,Scholander,,,
14,32,4.5,41.24461365,-7.114897728,-107.73,-524.89,-107.79,-524.09,155.2,39.48,47.2,997,14.2,266.18,0.65,0.37,8,15,3,-14.25,,,
14,32,4.79688,41.24461365,-7.114900589,-107.98,-524.58,-108.08,-523.77,155.2,39.58,47.2,997,14.2,263.05,0.65,0.37,8,15,3,-14.25,,,
14,32,5.20313,41.24461365,-7.114901543,-108.04,-524.59,-108.08,-523.76,155.1,39.58,47.2,997,14.2,267.93,0.65,0.37,8,15,3,-14.25,,,
14,32,5.5,41.24461365,-7.114903927,-108.22,-524.6,-108.32,-523.82,155.1,39.58,47.2,997,14.2,263.31,0.75,0.37,8,15,3,-14.25,,,
14,32,5.79688,41.24461365,-7.114904881,-108.35,-524.61,-108.4,-523.86,155.1,39.71,47.2,997,14.2,266.8,0.75,0.37,8,15,3,-14.25,,,
14,32,6.10156,41.24461365,-7.114906788,-108.47,-524.62,-108.58,-523.92,155.1,39.71,47.2,997,14.2,261.69,0.73,0.37,8,15,3,-14.25,,,
14,32,6.5,41.24461365,-7.114907742,-108.6,-524.63,-108.66,-523.86,155.1,39.71,47.2,997,14.2,265.72,0.73,0.37,8,15,3,-14.25,,,
14,32,6.89844,41.24461365,-7.114909649,-108.72,-524.64,-108.87,-523.82,155.1,40.76,47.2,997,14.2,260.21,0.6,0.37,8,15,3,-14.25,,,
14,32,7.29688,41.24461365,-7.114911079,-108.84,-524.65,-108.87,-523.86,155.1,40.76,47.2,997,14.1,267.9,0.6,0.37,8,15,3,-14.25,,,
14,32,7.60156,41.24461365,-7.114912033,-108.91,-524.66,-109,-523.84,155.1,39.78,47.2,997,14.1,263.9,0.6,0.37,8,15,3,-14.25,,,
14,32,7.89844,41.24460602,-7.11491394,-109.09,-525.38,-109.2,-524.52,155.1,39.78,47.2,997,14.1,263.31,0.61,0.37,8,15,3,-14.25,,,
14,32,8.20313,41.24460602,-7.114914894,-109.15,-525.39,-109.22,-524.54,155.1,39.78,47.2,997,14.1,265.89,0.61,0.37,8,15,3,-14.25,,,
14,32,8.5,41.24460602,-7.114915848,-109.22,-525.39,-109.32,-524.57,155,38.21,47.2,997,14.1,263.58,0.61,0.37,8,15,3,-14.25,,,
14,32,8.79688,41.24460602,-7.114918232,-109.46,-525.41,-109.62,-524.56,155,38.21,47.2,997,14.2,260.01,0.61,0.37,8,15,3,-14.25,,,
14,32,9.10156,41.24460602,-7.114919186,-109.53,-525.42,-109.59,-524.55,155,38.21,47.2,997,14.2,266.65,0.61,0.37,8,15,3,-14.25,,,
14,32,9.29688,41.24460602,-7.114920139,-109.59,-525.42,-109.68,-524.55,155,35.61,47.2,997,14.2,264.42,0.57,0.37,8,15,3,-14.25,,,
14,32,9.60156,41.24460602,-7.114922047,-109.71,-525.43,-109.77,-524.6,155,35.61,47.2,997,14.2,266.21,0,0.37,8,15,3,-14.25,,,
14,32,9.79688,41.24460602,-7.114923,-109.84,-525.44,-109.92,-524.64,155,35.61,47.2,997,14.3,264.38,0,0.37,8,15,3,-14.25,,,
14,32,10.1016,41.24460602,-7.114923954,-109.9,-525.45,-109.98,-524.65,155,35.61,47.2,997,14.3,264.5,0,0.37,8,15,3,-14.25,,,
14,32,10.3984,41.24460602,-7.114924908,-109.96,-525.45,-110.03,-524.66,155,36.78,47.1,997,14.3,265.02,0.68,0.37,8,15,3,-14.25,,,
14,32,10.7031,41.24460602,-7.114927292,-110.27,-525.15,-110.31,-524.41,155,36.78,47.1,997,14.3,267.58,0.68,0.37,8,15,3,-14.25,,,
14,32,11,41.24460602,-7.114929199,-110.39,-525.16,-110.47,-524.44,155,37.97,47.1,997,14.3,264.11,0.71,0.37,8,15,3,-14.25,,,
14,32,11.3984,41.24460602,-7.114931107,-110.58,-525.17,-110.62,-524.5,154.9,37.97,47.1,997,14.3,266.98,0.71,0.37,8,15,3,-14.25,,,
14,32,11.7969,41.24460602,-7.114933491,-110.77,-525.19,-110.79,-524.47,154.9,37.97,47.1,997,14.3,269.1,0.76,0.37,8,15,3,-14.25,,,
14,32,12.2031,41.24460602,-7.114934444,-110.89,-525.2,-110.91,-524.49,154.9,40.04,47.1,997,14.3,269.16,0.76,0.37,8,15,3,-14.25,,,
14,32,12.6016,41.24460602,-7.114936352,-111.01,-525.21,-111.05,-524.47,154.9,40.04,47.1,997,14.3,266.95,0.76,0.37,8,15,3,-14.25,,,
14,32,12.8984,41.24460602,-7.114937305,-111.08,-525.21,-111.13,-524.41,154.9,40.32,47.1,997,14.2,266.52,0.76,0.37,8,15,3,-14.25,,,
14,32,13.2969,41.24459457,-7.114938259,-111.14,-526.49,-111.17,-525.65,154.9,40.32,47.1,997,14.2,268.53,0.71,0.37,8,15,3,-14.25,,,
14,32,13.6016,41.24459457,-7.114939213,-111.2,-526.49,-111.23,-525.77,154.9,36.34,47.1,997,14.2,268.33,0.7354,0.37,8,15,3,-14.25,,,
14,32,14,41.24459457,-7.114942551,-111.51,-526.52,-111.61,-525.81,154.9,36.34,47.1,997,14.2,262.43,0.7354,0.37,8,15,3,-14.25,,,
14,32,14.3984,41.24459457,-7.114944458,-111.63,-526.53,-111.72,-525.76,154.9,36.34,47.1,997,14.2,264.02,0.73,0.37,8,15,3,-14.25,,,
14,32,14.7031,41.24459457,-7.114944458,-111.63,-526.53,-111.65,-525.76,154.9,38.46,47,997,14.2,269.16,0.73,0.37,8,15,3,-14.25,,,
14,32,15.1016,41.24459457,-7.114946365,-111.76,-526.54,-111.81,-525.76,154.9,38.46,47,997,14.2,266.49,0.8,0.37,8,15,3,-14.25,,,
14,32,15.3984,41.24459457,-7.11494875,-112.01,-526.56,-112.08,-525.79,154.9,39.53,47,997,14.2,265.34,0.8,0.37,8,15,3,-14.25,,,
14,32,15.8984,41.24459457,-7.114950657,-112.19,-526.58,-112.17,-525.95,154.9,39.53,47,997,14.1,272.15,0.75,0.37,8,15,3,-14.25,,,
14,32,16.2969,41.24459457,-7.114951611,-112.25,-526.58,-112.31,-525.86,154.9,38.95,47,997,14.1,265.76,0.75,0.37,8,15,3,-14.25,,,
14,32,16.7031,41.24459457,-7.114953518,-112.38,-526.59,-112.44,-525.72,154.8,38.95,47,997,14.1,266.27,0.75,0.37,8,15,3,-14.25,,,
14,32,17.1016,41.24459457,-7.114955425,-112.56,-526.61,-112.64,-525.88,154.8,39.44,47,997,14.1,264.26,0.75,0.37,8,15,3,-14.25,,,
14,32,17.5,41.24459457,-7.114956856,-112.69,-526.62,-112.73,-525.91,154.8,39.44,47,997,14.1,267.2,0.69,0.37,8,15,3,-14.25,,,
14,32,17.8984,41.24459457,-7.114958763,-112.87,-526.63,-112.93,-525.83,154.8,39.44,47,997,14.1,266.2,0.69,0.37,8,15,3,-14.25,,,
14,32,18.2031,41.24459457,-7.11496067,-113,-526.64,-113.12,-525.86,154.8,39.26,47,997,14.1,261.37,0.64,0.295,8,15,4,-13.4,,,
14,32,18.6016,41.24458694,-7.114962578,-113.12,-527.88,-113.18,-527.16,154.8,39.26,47,997,14.1,265.38,0.64,0.295,8,15,4,-13.4,,,
14,32,19,41.24458694,-7.114964008,-113.25,-527.89,-113.34,-527.08,154.8,38.02,47,997,14.1,263.77,0.73,0.295,8,15,4,-13.4,,,
14,32,19.3984,41.24458694,-7.114965916,-113.43,-527.91,-113.56,-527,154.8,38.02,47,997,14.2,262.05,0.73,0.295,8,15,4,-13.4,,,
14,32,19.8984,41.24458694,-7.114967823,-113.62,-527.92,-113.72,-527.03,154.8,38.44,47,997,14.3,263.97,0.7,0.295,8,15,4,-13.4,,,
14,32,20.2969,41.24458694,-7.11496973,-113.74,-527.93,-113.86,-527.07,154.8,38.44,47,997,14.3,262.26,0.7,0.295,8,15,4,-13.4,,,
14,32,20.6016,41.24458694,-7.114970684,-113.8,-527.94,-113.89,-527.03,154.8,38.44,47,997,14.3,264.75,0.7,0.295,8,15,4,-13.4,,,
14,32,20.8984,41.24458694,-7.114973068,-114.05,-527.96,-114.14,-527.1,154.7,37.4,47,997,14.3,264.59,0.7,0.295,8,15,4,-13.4,,,
14,32,21.2031,41.24458694,-7.114974022,-114.11,-527.96,-114.24,-527.12,154.7,37.4,47,997,14.3,261.54,0.7,0.295,8,15,4,-13.4,,,
14,32,21.6016,41.24458694,-7.114975929,-114.3,-527.98,-114.43,-527.12,154.7,39.22,47,997,14.3,262.02,0.78,0.295,8,15,4,-13.4,,,
14,32,21.8984,41.24458694,-7.114976883,-114.36,-527.98,-114.47,-527.06,154.7,39.22,47,997,14.3,263.26,0.78,0.295,8,15,4,-13.4,,,
14,32,22.2031,41.24458694,-7.114977837,-114.42,-527.99,-114.48,-527.07,154.7,39.22,47,997,14.3,266.66,0.78,0.295,8,15,4,-13.4,,,
14,32,22.5,41.24458694,-7.114980221,-114.61,-528,-114.7,-527.16,154.7,39.22,47,997,14.3,263.99,0.81,0.295,8,15,4,-13.4,,,
14,32,22.7031,41.24458694,-7.114981174,-114.73,-527.68,-114.83,-526.89,154.7,39.74,47,997,14.3,262.9,0.81,0.295,8,15,4,-13.4,,,
14,32,22.8984,41.24458694,-7.114982128,-114.86,-527.69,-114.97,-526.89,154.7,39.74,47,997,14.4,262.35,0.81,0.295,8,15,4,-13.4,,,
14,32,23.2031,41.24458694,-7.114983082,-114.92,-527.7,-115,-526.88,154.7,39.74,47,997,14.4,264.73,0.75,0.295,8,15,4,-13.4,,,
