T3 - 9Sep_MapMor_GT_832,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column15,Column16,Column17,Column18,Column20,Column23,Column24,Column33,Column34,Column35,Column36
Hour,Min,Sec,Lat,Lon,East,North,Ecrop,N_crop,Alt,Tcanopy,Tambient,Pressure,Humidity,HeadCompass,NDVI,PRI,Row,Irrig,Space,Scholand
11,3,59.7969,41.24422073,-7.114532471,-77.16,-568.31,-77.5,-567.48,154,26.44,23.1,1005,33.6,248,0.53,-0.03,Starts in line 80,,,
11,4,0.101563,41.24422073,-7.114532471,-77.16,-568.31,-77.5,-567.49,154,26.44,23.1,1005,33.6,248,0.53,-0.03,,,,
11,4,0.398438,41.24422073,-7.114532471,-77.16,-568.31,-77.5,-567.48,154,26.4,23.1,1005,33.6,248,0.53,-0.01,,,,
11,4,0.703125,41.24422073,-7.114532471,-77.16,-568.31,-77.5,-567.48,154,26.4,23.1,1005,33.6,248,0.53,-1,,,,
11,4,1.10156,41.24422073,-7.114532471,-77.16,-568.31,-77.5,-567.48,154,26.4,23.1,1005,33.7,248,0.54,-1,,,,
11,4,1.39844,41.24422073,-7.114532471,-77.16,-568.31,-77.51,-567.5,154,26.4,23.1,1005,33.7,247,1,-1,,,,
11,4,1.79688,41.24422073,-7.114532471,-77.16,-568.31,-77.48,-567.48,154,26.4,23.1,1005,33.8,249,1,-1,,,,
11,4,2.10156,41.24422073,-7.114532471,-77.16,-568.31,-77.48,-567.48,154,26.55,23.1,1005,33.9,249,0.53,-1,,,,
11,4,2.5,41.24422073,-7.114533424,-77.22,-568.31,-77.57,-567.5,154,26.55,23.1,1005,33.9,247,0.53,-1,,,,
11,4,2.79688,41.24422073,-7.114534378,-77.28,-568.32,-77.65,-567.51,154,26.55,23.1,1005,33.9,246,0.53,-1,,,,
11,4,4.10156,41.24422073,-7.11453867,-77.66,-568.54,-77.99,-567.59,153.9,26.64,23.1,1005,34.1,251,0.62,0.04,,,,
11,4,4.39844,41.24422073,-7.114540577,-77.84,-568.55,-78.28,-567.66,153.9,26.64,23.1,1005,34.1,244,0.74,0.04,,,,
11,4,4.70313,41.24422073,-7.114541531,-77.9,-568.56,-78.28,-567.69,153.9,26.37,23.1,1005,34.1,247,0.74,-0.03,,,,
11,4,5,41.24422073,-7.114543438,-78.09,-568.57,-78.47,-567.77,153.9,26.37,23.1,1005,34.2,245,0.74,-0.03,,,,
11,4,5.20313,41.24422073,-7.114544868,-78.15,-568.58,-78.48,-567.78,153.9,26.37,23.1,1005,34.2,248,0.74,-0.03,,,,
11,4,5.39844,41.24422073,-7.114545822,-78.21,-568.58,-78.47,-567.88,153.9,26.37,23.1,1005,34.2,250,0.67,-0.03,,,,
11,4,5.70313,41.24422073,-7.114547729,-78.4,-568.6,-78.68,-567.89,153.9,26.92,23.1,1005,34.2,249,0.67,-0.03,,,,
11,4,6.10156,41.24422073,-7.114550591,-78.59,-568.61,-78.95,-567.84,153.9,26.92,23.1,1005,34.2,245,0.73,-0.03,,,,
11,4,6.5,41.24422073,-7.114552975,-78.83,-568.63,-79.17,-567.84,153.8,24.58,23.1,1005,34.2,247,0.73,-0.04,,,,
11,4,6.79688,41.2442131,-7.114553928,-78.9,-569.2,-79.25,-568.39,153.8,24.58,23.1,1005,34.2,247,0.73,-0.04,,,,
11,4,7.10156,41.2442131,-7.114555836,-79.08,-569.22,-79.46,-568.34,153.8,24.58,23.1,1005,34.2,247,0.73,-0.04,,,,
11,4,7.39844,41.2442131,-7.114556789,-79.14,-569.22,-79.57,-568.34,153.8,26.02,23.1,1005,34.2,244,0.73,-0.04,,,,
11,4,7.70313,41.2442131,-7.114557743,-79.21,-569.23,-79.49,-568.26,153.8,26.02,23.1,1005,34.3,254,0.71,-0.04,,,,
11,4,8,41.2442131,-7.114561081,-79.52,-569.25,-79.98,-568.41,153.7,26.02,23.1,1005,34.3,242,0.71,-1,,,,
11,4,8.39844,41.2442131,-7.114562988,-79.64,-569.26,-80.03,-568.41,153.7,26.62,23.1,1005,34.2,246,0.71,-1,,,,
11,4,8.70313,41.2442131,-7.114564896,-79.83,-569.28,-80.19,-568.39,153.7,26.62,23.1,1005,34.3,248,0.74,-0.08,,,,
11,4,8.89844,41.2442131,-7.114564896,-79.83,-569.28,-80.23,-568.27,153.7,26.62,23.1,1005,34.3,249,0.74,-0.08,,,,
11,4,9.20313,41.2442131,-7.11456728,-80.01,-569.29,-80.43,-568.37,153.7,25.17,23.1,1005,34.3,246,0.74,-0.08,,,,
11,4,9.5,41.2442131,-7.114569187,-80.2,-568.98,-80.61,-568.04,153.7,25.17,23.1,1005,34.3,247,0.74,0.05,,,,
11,4,9.70313,41.2442131,-7.114569187,-80.2,-568.98,-80.55,-567.99,153.7,25.17,23.1,1005,34.3,251,0.74,0.05,,,,
11,4,10,41.2442131,-7.114572048,-80.45,-569,-80.83,-568.07,153.6,24.57,23.1,1005,34.3,248,0.74,0.05,,,,
11,4,10.2031,41.2442131,-7.114573002,-80.57,-569.01,-80.95,-568.08,153.6,24.57,23.1,1005,34.3,248,0.74,0.01,,,,
11,4,10.3984,41.2442131,-7.114573956,-80.63,-569.01,-81.04,-568.14,153.6,24.57,23.1,1005,34.3,245,0.77,0.01,,,,
11,4,10.7031,41.24420547,-7.114575386,-80.69,-569.39,-80.99,-568.49,153.6,24.57,23.1,1005,34.3,252,0.77,0.01,,,,
11,4,11,41.24420547,-7.114577293,-80.88,-569.41,-81.21,-568.56,153.6,25.92,23.1,1005,34.3,249,0.77,0.01,,,,
11,4,11.2969,41.24420547,-7.114579201,-81.07,-569.42,-81.41,-568.6,153.5,25.92,23.2,1005,34.2,248,0.77,0.01,,,,
11,4,11.5,41.24420547,-7.114579201,-81.07,-569.42,-81.41,-568.59,153.5,25.92,23.2,1005,34.2,248,0.77,0.01,,,,
11,4,11.7969,41.24420547,-7.114580154,-81.13,-569.43,-81.47,-568.61,153.5,26.34,23.2,1005,34.2,248,0.77,0.01,,,,
