T4 - 9Sep_Map_MIDDAY,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column16,Column17,Column18,Column19,Column21,Column24,Column25
Hour,Min,Sec,Lat,Lon,East,North,Ecrop,N_crop,Alt,Tcanopy,Tambient,Pressure,Humidity,HeadCompass,NDVI,PRI
14,29,18.1016,41.24422073,-7.11453867,-77.66,-568.16,-78,-567.45,154.6,35.65,34.2,1002.4,17.5,245,0.031,0.04
14,29,18.3984,41.24422073,-7.11453867,-77.66,-568.16,-78,-567.45,154.6,35.65,34.2,1002.4,17.5,245,0.0237,0.04
14,29,18.7969,41.24422073,-7.11453867,-77.66,-568.16,-78,-567.45,154.6,35.65,34.2,1002.4,17.5,245,0,0.06
14,29,19,41.24422073,-7.11453867,-77.66,-568.16,-78,-567.45,154.6,35.69,34.2,1002.4,17.5,245,0,0.06
14,29,19.2969,41.24422073,-7.11453867,-77.66,-568.16,-78,-567.45,154.6,35.69,34.2,1002.4,17.5,245,0,0.06
14,29,19.5,41.24422073,-7.11453867,-77.66,-568.16,-77.99,-567.44,154.6,35.69,34.2,1002.4,17.5,246,0,0.06
14,29,20,41.24422073,-7.11453867,-77.66,-568.16,-78,-567.45,154.6,35.75,34.2,1002.4,17.5,245,0,0.06
14,29,20.3984,41.24422073,-7.11453867,-77.66,-568.16,-78,-567.45,154.6,35.75,34.2,1002.4,17.5,245,0.56,0.03
14,29,20.8984,41.24422073,-7.11453867,-77.66,-568.16,-78,-567.45,154.6,35.86,34.2,1002.4,17.5,245,0.56,0.03
14,29,21.2969,41.24422073,-7.114539623,-77.72,-568.16,-78.07,-567.45,154.6,35.86,34.2,1002.4,17.5,244,0.56,0.03
14,29,21.7031,41.24422073,-7.114539623,-77.72,-568.16,-78.09,-567.45,154.6,36.19,34.2,1002.4,17.5,243,0.56,0.03
14,29,22,41.24422073,-7.114540577,-77.84,-568.17,-78.2,-567.44,154.6,36.19,34.2,1002.4,17.5,244,0.6,0.04
14,29,22.2969,41.24422073,-7.114541531,-77.9,-568.18,-78.28,-567.45,154.6,36.19,34.2,1002.4,17.5,243,0.6,0.04
14,29,22.6016,41.24422073,-7.114541531,-77.9,-568.18,-78.29,-567.43,154.6,37.05,34.2,1002.4,17.5,243,0.6,0.04
14,29,22.8984,41.24422073,-7.114542484,-77.97,-568.18,-78.32,-567.37,154.6,37.05,34.2,1002.4,17.5,247,0.6,0.06
14,29,23.2031,41.24422073,-7.114544868,-78.15,-568.2,-78.59,-567.35,154.6,37.05,34.2,1002.4,17.5,243,0.6,0.06
14,29,23.3984,41.24422073,-7.114544868,-78.15,-568.2,-78.54,-567.3,154.6,37.52,34.2,1002.4,17.5,247,0.6,0.06
14,29,23.7031,41.2442131,-7.114546776,-78.34,-569.11,-78.7,-568.23,154.6,37.52,34.2,1002.4,17.5,248,0.6,0.06
14,29,23.8984,41.2442131,-7.114547729,-78.4,-569.12,-78.8,-568.32,154.6,37.52,34.2,1002.4,17.5,244,0.6,0.06
14,29,24.2031,41.2442131,-7.114549637,-78.52,-569.13,-78.89,-568.39,154.6,36.19,34.2,1002.4,17.5,244,0.6,0.06
14,29,24.5,41.2442131,-7.114550591,-78.59,-569.13,-78.97,-568.4,154.6,36.19,34.2,1002.4,17.5,243,0.68,0.07
14,29,24.7031,41.2442131,-7.114552021,-78.77,-569.15,-79.06,-568.49,154.6,36.19,34.2,1002.4,17.5,247,0.68,0.07
14,29,25,41.2442131,-7.114553928,-78.9,-569.16,-79.29,-568.41,154.6,34.6,34.2,1002.4,17.5,243,0.7,0.07
14,29,25.3984,41.2442131,-7.114556789,-79.14,-569.18,-79.54,-568.4,154.6,34.6,34.2,1002.4,17.5,243,0,0.14
14,29,25.6016,41.2442131,-7.114557743,-79.21,-569.18,-79.6,-568.4,154.6,34.6,34.2,1002.4,17.5,244,0,0.14
14,29,25.8984,41.2442131,-7.114558697,-79.27,-569.19,-79.65,-568.35,154.5,34.86,34.2,1002.4,17.5,246,0.69,0.14
14,29,26.2969,41.2442131,-7.114561081,-79.52,-569.21,-79.97,-568.33,154.5,34.86,34.2,1002.4,17.5,243,0.69,0.06
