T5 - 10Sep_Morning930_GT,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column15,Column16,Column17,Column18,Column20,Column23,Column24,Column33,Column34,Column35,Column36
Hour,Min,Sec,Lat,Lon,East,North,Ecrop,N_crop,Alt,Tcanopy,Tambient,Pressure,Humidity,HeadCompass,NDVI,PRI,Row,Space,Irrig,Scholand
10,27,34.7969,41.24422073,-7.114533424,-77.22,-568.12,-77.6,-567.14,154.3,27.06,22.2,1003.7,42.9,249,0.49,-0.02,See line 43,,,
10,27,35.1016,41.24422073,-7.114533424,-77.22,-568.31,-77.6,-567.33,154.3,27.06,22.2,1003.7,42.9,249,0.49,-0.01,,,,
10,27,35.6016,41.24422073,-7.114533424,-77.22,-568.31,-77.6,-567.33,154.3,27.06,22.2,1003.7,42.9,249,0.48,-0.01,,,,
10,27,35.8984,41.24422073,-7.114533424,-77.22,-568.31,-77.6,-567.33,154.3,27.06,22.2,1003.7,42.9,249,0.48,-0.01,,,,
10,27,36.1016,41.24422073,-7.114533424,-77.22,-568.31,-77.6,-567.33,154.3,27.19,22.2,1003.7,42.9,249,0.48,-0.01,,,,
10,27,36.3984,41.24422073,-7.114533424,-77.22,-568.31,-77.59,-567.32,154.3,27.19,22.2,1003.7,42.9,250,0.48,-0.01,,,,
10,27,36.7969,41.24422073,-7.114533424,-77.22,-568.31,-77.6,-567.33,154.3,27.19,22.2,1003.7,42.9,249,0.48,-0.01,,,,
10,27,37.2969,41.24422073,-7.114533424,-77.22,-568.31,-77.6,-567.33,154.3,27.19,22.2,1003.7,42.9,249,0.48,-0.01,,,,
10,27,37.6016,41.24422073,-7.114533424,-77.22,-568.31,-77.6,-567.33,154.3,27.28,22.2,1003.7,42.9,249,0.46,0.02,,,,
10,27,38,41.24422073,-7.114534378,-77.28,-568.32,-77.66,-567.35,154.3,27.28,22.2,1003.7,42.9,249,0.46,0.02,,,,
10,27,38.2969,41.24422073,-7.114534378,-77.28,-568.32,-77.66,-567.34,154.3,27.28,22.2,1003.7,42.8,249,0.46,0.07,,,,
