T6 - 8Ago_Map_Midday,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column16,Column17,Column18,Column19,Column21,Column24,Column25
Hour,Min,Sec,Lat,Lon,East,North,Ecrop,N_crop,Alt,Tcanopy,Tambient,Pressure,Humidity,HeadCompass,NDVI,PRI
12,44,23.6016,41.24422073,-7.114535332,-77.41,-568.09,-77.55,-567.22,155.2,36.95,44.9,999,17.5,261,0.75,0.25
12,44,23.7969,41.24422073,-7.114535332,-77.41,-568.09,-77.55,-567.23,155.2,37.03,44.9,999,17.6,261,0.75,0.25
12,44,24,41.24422073,-7.114535332,-77.41,-568.09,-77.55,-567.23,155.2,37.03,44.9,999,17.6,261,0.75,0.25
12,44,24.2969,41.24422073,-7.114535332,-77.41,-568.09,-77.54,-567.22,155.2,37.03,44.9,999,17.6,262,0.75,0.25
12,44,24.6016,41.24422073,-7.114535332,-77.41,-568.09,-77.55,-567.23,155.2,37.03,44.9,999,17.6,261,0.75,0.25
12,44,24.8984,41.24422073,-7.114535332,-77.41,-568.09,-77.55,-567.23,155.2,37.03,44.9,999,17.6,261,0.75,0.29
12,44,25.2031,41.24422073,-7.114535332,-77.41,-568.09,-77.55,-567.22,155.2,37.03,44.9,999,17.4,261,0.75,0.29
12,44,25.5,41.24422073,-7.114535332,-77.41,-568.09,-77.54,-567.21,155.2,37.01,44.9,999,17.4,262,0.76,0.25
12,44,25.7969,41.24422073,-7.114536762,-77.47,-568.1,-77.61,-567.23,155.2,37.01,44.9,999,17.3,261,0.76,-1
12,44,26.1016,41.24422073,-7.114536762,-77.47,-568.1,-77.62,-567.21,155.2,37.01,44.9,999,17.3,261,0,-1
12,44,26.3984,41.24422073,-7.114537716,-77.59,-568.11,-77.69,-567.21,155.2,36.68,44.9,999,17.3,264,0.78,0.29
12,44,26.7031,41.24422073,-7.11453867,-77.66,-568.12,-77.84,-567.23,155.2,36.68,44.9,999,17.3,259,0.78,0.29
12,44,26.8984,41.24422073,-7.11453867,-77.66,-568.12,-77.77,-567.14,155.2,36.68,44.9,999,17.3,264,0.78,0.29
12,44,27.2969,41.2442131,-7.114540577,-77.84,-569.03,-78,-568.06,155.2,36.43,44.9,999,17.3,261,0.8,0.38
12,44,27.6016,41.2442131,-7.114541531,-77.9,-569.03,-78.06,-568.09,155.1,36.43,44.9,999,17.3,261,0.8,0.38
12,44,27.7969,41.2442131,-7.114542484,-77.97,-569.04,-78.02,-568.13,155.1,36.43,44.9,999,17.4,267,0.8,0.38
12,44,28.1016,41.2442131,-7.114544868,-78.15,-569.05,-78.26,-568.2,155.1,36.43,44.9,999,17.4,263,0.8,0.38
12,44,28.3984,41.2442131,-7.114545822,-78.21,-569.06,-78.32,-568.3,155.1,35.77,44.9,999,17.3,262,0.8,0.38
12,44,28.7031,41.2442131,-7.114547729,-78.4,-569.07,-78.49,-568.42,155.1,35.77,44.9,999,17.2,263,0.78,0.38
12,44,29.1016,41.2442131,-7.114549637,-78.52,-569.27,-78.62,-568.48,155.1,35.21,45,999,17.2,263,0.78,0.27
12,44,29.3984,41.2442131,-7.114552021,-78.71,-569.29,-78.83,-568.56,155.1,35.21,45,999,17.2,261,0.78,0.27
12,44,29.7031,41.2442131,-7.114553928,-78.9,-569.3,-79.02,-568.58,155.1,35.21,45,999,17.2,261,0.75,0.24
12,44,30.1016,41.2442131,-7.114555836,-79.08,-569.32,-79.16,-568.57,155.1,34.26,45,999,17.2,264,0.75,0.24
12,44,30.3984,41.2442131,-7.114556789,-79.14,-569.32,-79.26,-568.53,155,34.26,45,999,17.2,262,0.8,0.26
12,44,30.7969,41.2442131,-7.114560127,-79.39,-569.34,-79.52,-568.54,155,34.92,45,999,17.1,261,0.8,0.26
12,44,31.2031,41.2442131,-7.114562035,-79.58,-569.36,-79.67,-568.56,155,34.92,45,999,17.2,264,0.8,0.26
12,44,31.5,41.2442131,-7.114563942,-79.76,-569.37,-79.85,-568.61,155,34.92,45,999,17.2,264,0.82,0.4
12,44,31.7969,41.2442131,-7.114565849,-79.89,-569.38,-79.96,-568.65,155,33.58,45,999,17.2,265,0.82,0.4
12,44,32.2031,41.2442131,-7.114568233,-80.14,-569.07,-80.25,-568.24,154.9,33.58,45,999,17.2,263,0.82,0.4
12,44,32.6016,41.24420547,-7.114569187,-80.2,-569.6,-80.32,-568.86,154.9,33.25,45,999,17.2,261,0.82,0.4
12,44,32.8984,41.24420547,-7.114571095,-80.38,-569.61,-80.49,-568.83,154.9,33.25,45,999,17.2,262,0.84,0.43
12,44,33.2969,41.24420547,-7.114573002,-80.57,-569.82,-80.67,-569.08,154.9,33.25,45,999,17.2,263,0.84,0.43
12,44,33.6016,41.24420547,-7.114575386,-80.69,-569.83,-80.79,-569.13,154.9,34.05,45,999,17.2,262,0.82,0.43
12,44,34,41.24420547,-7.114578247,-80.94,-569.85,-81.09,-569.22,154.8,34.05,45,999,17.2,257,0.0103,0.29
12,44,34.2969,41.24420547,-7.114579201,-81.07,-569.86,-81.15,-569.2,154.9,34.59,45,999,17.2,264,0.0103,0.29
12,44,34.7031,41.24420547,-7.114581108,-81.19,-569.87,-81.29,-569.27,154.8,34.59,45,999,17.3,261,0.77,0.22
12,44,35,41.24420547,-7.114583492,-81.38,-569.88,0,0,154.8,34.59,45,999,17.3,261,0.77,0.22
12,44,35.3984,41.24420547,-7.114584446,-81.5,-569.89,-81.59,-569.3,154.8,0,45,999,17.3,262,0,0
12,44,36.1016,41.24420547,-7.114588261,-81.81,-569.92,-81.92,-569.25,154.8,34.25,45,999,17.2,261,0.75,0
12,44,36.5,41.24420547,-7.114590645,-82,-569.93,0,0,154.7,34.25,45,999,17.2,261,0.75,0
12,44,36.7969,41.24420547,-7.114591599,-82.06,-569.94,-82.18,-569.2,154.7,0,45,999,17.2,261,0,0
12,44,37.2031,41.24419785,-7.114593506,-82.25,-571.23,0,0,154.7,34.91,45,999,17.2,261,0.8,0
12,44,37.5,41.24419785,-7.114595413,-82.37,-570.9,-82.54,-570.25,154.7,0,45,999,17.2,256,0,0
12,44,38,41.24419785,-7.114598751,-82.68,-570.93,-82.8,-570.2,154.7,35.66,45,999,17.2,261,0.74,0
12,44,38.2969,41.24419785,-7.114599705,-82.74,-570.93,-82.84,-570.27,154.7,35.66,45,999,17.2,262,0.74,0.27
12,44,38.7031,41.24419785,-7.114602566,-82.99,-570.95,-83.13,-570.18,154.6,36.13,45,999,17.2,260,0.78,0.31
12,44,39,41.24419785,-7.114604473,-83.18,-570.97,-83.3,-570.18,154.6,36.13,45.1,999,17.2,262,0.78,0.31
12,44,39.3984,41.24419785,-7.114605904,-83.24,-570.97,-83.34,-570.39,154.6,36.17,45.1,999,17.2,261,0.83,0.36
12,44,39.8984,41.24419785,-7.114608765,-83.49,-570.99,0,0,154.6,36.17,45.1,999,17.2,257,0.83,0.36
12,44,40.2031,41.24419785,-7.114609718,-83.55,-571,-83.67,-570.27,154.6,0,45.1,999,17.2,261,0,0
12,44,40.7031,41.24419785,-7.114613056,-83.86,-571.03,-84.06,-570.29,154.5,34.7,45.1,999,17.2,255,0,0
12,44,41,41.24419785,-7.11461401,-83.92,-571.03,-84.12,-570.31,154.5,34.7,45.1,999,17.2,255,0.8,0.24
12,44,41.3984,41.24419022,-7.114615917,-84.04,-572.08,-84.19,-571.35,154.5,35.55,45.1,999,17.2,259,0.8,0.24
12,44,41.7969,41.24419022,-7.114616871,-84.17,-572.09,-84.3,-571.28,154.5,35.55,45.1,999,17.1,261,0.81,0.26
12,44,42.1016,41.24419022,-7.114618778,-84.29,-572.1,-84.52,-571.38,154.5,35.15,45.1,999,17,253,0.81,0.26
12,44,42.5,41.24419022,-7.114621162,-84.54,-572.12,-84.68,-571.41,154.5,35.15,45,999,16.9,259,0.78,0.26
12,44,43,41.24419022,-7.11462307,-84.73,-571.81,-84.92,-570.86,154.5,33.83,45,999,16.9,259,0.78,0.25
12,44,43.3984,41.24419022,-7.114624977,-84.91,-571.82,-85.11,-570.93,154.5,33.83,45.1,999,16.9,258,0.83,0.25
12,44,43.7969,41.24419022,-7.114626884,-85.04,-571.83,-85.17,-571.03,154.5,33.83,45,999,16.9,261,0.83,0.42
